Index,Reaction1,Reaction2,Catalyst1,Catalyst2,Product,yield,ee
11,[H]C(CCCCC#C)=O,[H]C1=CC=C(C(CBr)=O)C=C1,FC1=CC(F)=C(C2=CC=C(C(F)(F)F)C=[N+]2[Ir-3]345([N+]6=CC=C(C(C)(C)C)C=C6C7=[N+]5C=CC(C(C)(C)C)=C7)[N+]8=CC(C(F)(F)F)=CC=C8C9=C(F)C=C(F)C=C94)C3=C1.F[P-](F)(F)(F)(F)F,O=C([C@H]1NCSC1)N,[H]C([C@H](CCCC#C)CC(C1=CC=C([H])C=C1)=O)=O,0.117685529207562006,0.021850084549717100
12,[H]C(CCCCC#C)=O,[H]C1=CC=C(C(CBr)=O)C=C1,C1(C2=CC=CC=[N+]23)=CC=CC=C1[Ir-3]435(C6=CC=CC=C6C7=CC=CC=[N+]75)[N+]8=CC=CC=C8C9=CC=CC=C94,C1COCCN1,[H]C([C@H](CCCC#C)CC(C1=CC=C([H])C=C1)=O)=O,0.140847027154559989,0.071378079495780802
13,[H]C(CCCCC#C)=O,[H]C1=CC=C(C(CBr)=O)C=C1,C1(C2=CC=CC=[N+]23)=CC=CC=C1[Ir-3]435(C6=CC=CC=C6C7=CC=CC=[N+]75)[N+]8=CC=CC=C8C9=CC=CC=C94,C[Si](OC(C1=CC=CC=C1)(C2=CC=CC=C2)[C@H]3NCCC3)(C)C,[H]C([C@H](CCCC#C)CC(C1=CC=C([H])C=C1)=O)=O,0.815973863697867952,0.480561829524251027
14,[H]C(CCCCC#C)=O,[H]C1=CC=C(C(CBr)=O)C=C1,C1(C2=CC=CC=[N+]23)=CC=CC=C1[Ir-3]435(C6=CC=CC=C6C7=CC=CC=[N+]75)[N+]8=CC=CC=C8C9=CC=CC=C94,CC(C)(C)[C@@H](N1C)[NH2+][C@@H](C)C1=O.[O-]S(=O)(C(F)(F)F)=O,[H]C([C@H](CCCC#C)CC(C1=CC=C([H])C=C1)=O)=O,0.316025663056479000,0.807504074463570976
15,[H]C(CCCCC#C)=O,[H]C1=CC=C(C(CBr)=O)C=C1,C1(C2=CC=CC=[N+]23)=CC=CC=C1[Ir-3]435(C6=CC=CC=C6C7=CC=CC=[N+]75)[N+]8=CC=CC=C8C9=CC=CC=C94,FC(C1=CC(C([C@@H]2CCCN2)(O[Si](C)(C)C)C3=CC(C(F)(F)F)=CC(C(F)(F)F)=C3)=CC(C(F)(F)F)=C1)(F)F,[H]C([C@H](CCCC#C)CC(C1=CC=C([H])C=C1)=O)=O,1.008543369915730015,-0.594397330482319020
16,[H]C(CCCCC#C)=O,[H]C1=CC=C(C(CBr)=O)C=C1,C1(C2=CC=CC=[N+]23)=CC=CC=C1[Ir-3]435(C6=CC=CC=C6C7=CC=CC=[N+]75)[N+]8=CC=CC=C8C9=CC=CC=C94,O=C([C@H]1NCCC1)O,[H]C([C@H](CCCC#C)CC(C1=CC=C([H])C=C1)=O)=O,0.411613933840021984,-0.036054569646651102
17,[H]C(CCCCC#C)=O,[H]C1=CC=C(C(CBr)=O)C=C1,C1(C2=CC=CC=[N+]23)=CC=CC=C1[Ir-3]435(C6=CC=CC=C6C7=CC=CC=[N+]75)[N+]8=CC=CC=C8C9=CC=CC=C94,CN1[C@H](C(C)(C)C)N[C@@H](CC2=CC=CC=C2)C1=O,[H]C([C@H](CCCC#C)CC(C1=CC=C([H])C=C1)=O)=O,0.087369337604912500,0.347500858173989013
18,[H]C(CCCCC#C)=O,[H]C1=CC=C(C(CBr)=O)C=C1,C1(C2=CC=CC=[N+]23)=CC=CC=C1[Ir-3]435(C6=CC=CC=C6C7=CC=CC=[N+]75)[N+]8=CC=CC=C8C9=CC=CC=C94,[H][C@@]12[C@@](C[C@@H](C(O)=O)N2)([H])CCCC1,[H]C([C@H](CCCC#C)CC(C1=CC=C([H])C=C1)=O)=O,0.236821183936578000,-0.177968857615492998
19,[H]C(CCCCC#C)=O,[H]C1=CC=C(C(CBr)=O)C=C1,C1(C2=CC=CC=[N+]23)=CC=CC=C1[Ir-3]435(C6=CC=CC=C6C7=CC=CC=[N+]75)[N+]8=CC=CC=C8C9=CC=CC=C94,O=C([C@H]1NCCCC1)O,[H]C([C@H](CCCC#C)CC(C1=CC=C([H])C=C1)=O)=O,0.326113000477328996,-0.052399377847698901
20,[H]C(CCCCC#C)=O,[H]C1=CC=C(C(CBr)=O)C=C1,C1(C2=CC=CC=[N+]23)=CC=CC=C1[Ir-3]435(C6=CC=CC=C6C7=CC=CC=[N+]75)[N+]8=CC=CC=C8C9=CC=CC=C94,O=C([C@H]1NCCC1)N,[H]C([C@H](CCCC#C)CC(C1=CC=C([H])C=C1)=O)=O,0.402870183810695004,-0.229850196329219991
21,[H]C(CCCCC#C)=O,[H]C1=CC=C(C(CBr)=O)C=C1,C1(C2=CC=CC=[N+]23)=CC=CC=C1[Ir-3]435(C6=CC=CC=C6C7=CC=CC=[N+]75)[N+]8=CC=CC=C8C9=CC=CC=C94,O=C([C@H]1NC2=CC=CC=C2C1)N,[H]C([C@H](CCCC#C)CC(C1=CC=C([H])C=C1)=O)=O,0.370940976622260998,-0.418233800071856010
22,[H]C(CCCCC#C)=O,[H]C1=CC=C(C(CBr)=O)C=C1,C1(C2=CC=CC=[N+]23)=CC=CC=C1[Ir-3]435(C6=CC=CC=C6C7=CC=CC=[N+]75)[N+]8=CC=CC=C8C9=CC=CC=C94,O=C([C@H]1NCSC1)N,[H]C([C@H](CCCC#C)CC(C1=CC=C([H])C=C1)=O)=O,0.065670277790228396,0.037372217559321803
23,[H]C(CCCCC#C)=O,[H]C1=CC=C(C(CBr)=O)C=C1,F[P-](F)(F)(F)(F)F.C1(C2=CC=CC=[N+]23)=CC=CC=C1[Ir-3]435([N+]6=CC=CC=C6C7=CC=CC=[N+]75)[N+]8=CC=CC=C8C9=CC=CC=C94,C1COCCN1,[H]C([C@H](CCCC#C)CC(C1=CC=C([H])C=C1)=O)=O,0.175061800286128999,0.040995432390356801
24,[H]C(CCCCC#C)=O,[H]C1=CC=C(C(CBr)=O)C=C1,F[P-](F)(F)(F)(F)F.C1(C2=CC=CC=[N+]23)=CC=CC=C1[Ir-3]435([N+]6=CC=CC=C6C7=CC=CC=[N+]75)[N+]8=CC=CC=C8C9=CC=CC=C94,C[Si](OC(C1=CC=CC=C1)(C2=CC=CC=C2)[C@H]3NCCC3)(C)C,[H]C([C@H](CCCC#C)CC(C1=CC=C([H])C=C1)=O)=O,0.814801909921787026,0.453382660616883981
25,[H]C(CCCCC#C)=O,[H]C1=CC=C(C(CBr)=O)C=C1,F[P-](F)(F)(F)(F)F.C1(C2=CC=CC=[N+]23)=CC=CC=C1[Ir-3]435([N+]6=CC=CC=C6C7=CC=CC=[N+]75)[N+]8=CC=CC=C8C9=CC=CC=C94,CC(C)(C)[C@@H](N1C)[NH2+][C@@H](C)C1=O.[O-]S(=O)(C(F)(F)F)=O,[H]C([C@H](CCCC#C)CC(C1=CC=C([H])C=C1)=O)=O,0.333028941669113010,0.743884941729736959
26,[H]C(CCCCC#C)=O,[H]C1=CC=C(C(CBr)=O)C=C1,F[P-](F)(F)(F)(F)F.C1(C2=CC=CC=[N+]23)=CC=CC=C1[Ir-3]435([N+]6=CC=CC=C6C7=CC=CC=[N+]75)[N+]8=CC=CC=C8C9=CC=CC=C94,FC(C1=CC(C([C@@H]2CCCN2)(O[Si](C)(C)C)C3=CC(C(F)(F)F)=CC(C(F)(F)F)=C3)=CC(C(F)(F)F)=C1)(F)F,[H]C([C@H](CCCC#C)CC(C1=CC=C([H])C=C1)=O)=O,0.841628753936062957,-0.587281926997557990
27,[H]C(CCCCC#C)=O,[H]C1=CC=C(C(CBr)=O)C=C1,F[P-](F)(F)(F)(F)F.C1(C2=CC=CC=[N+]23)=CC=CC=C1[Ir-3]435([N+]6=CC=CC=C6C7=CC=CC=[N+]75)[N+]8=CC=CC=C8C9=CC=CC=C94,O=C([C@H]1NCCC1)O,[H]C([C@H](CCCC#C)CC(C1=CC=C([H])C=C1)=O)=O,0.484277830726348002,-0.029338829285211799
