Catalyst,Solvent,Base,Plate,Analysis,Plating,Yield,Conversion
BIAN-IPr-Pd-DMS,Me-THF,K3PO4,784,UPLC,Method1,18,18
BIAN-IPr#-Pd-DMS,Me-THF,K3PO4,784,UPLC,Method1,6,10
IPrCl-Pd-DMS,Me-THF,K3PO4,784,UPLC,Method1,36,41
IPentCl-Pd-DMS,Me-THF,K3PO4,784,UPLC,Method1,72,87
INonCl-Pd-DMS,Me-THF,K3PO4,784,UPLC,Method1,24,28
IPriPr-Pd-DMS,Me-THF,K3PO4,784,UPLC,Method1,20,28
IPr#-Pd-DMS,Toluene,K2CO3,784,UPLC,Method1,48,
BIAN-IMes-Pd-DMS,Toluene,K2CO3,784,UPLC,Method1,3,
BIAN-IPr-Pd-DMS,Toluene,K2CO3,784,UPLC,Method1,5,
BIAN-IPr#-Pd-DMS,Toluene,K2CO3,784,UPLC,Method1,3,
IPrCl-Pd-DMS,Toluene,K2CO3,784,UPLC,Method1,32,
IPentCl-Pd-DMS,Toluene,K2CO3,784,UPLC,Method1,45,
INonCl-Pd-DMS,Toluene,K2CO3,784,UPLC,Method1,67,
IPriPr-Pd-DMS,Toluene,K2CO3,784,UPLC,Method1,3,
IPr#-Pd-DMS,Toluene,Cs2CO3,784,UPLC,Method1,81,
BIAN-IMes-Pd-DMS,Toluene,Cs2CO3,784,UPLC,Method1,8,
BIAN-IPr-Pd-DMS,Toluene,Cs2CO3,784,UPLC,Method1,26,
BIAN-IPr#-Pd-DMS,Toluene,Cs2CO3,784,UPLC,Method1,3,
IPrCl-Pd-DMS,Toluene,Cs2CO3,784,UPLC,Method1,55,
IPentCl-Pd-DMS,Toluene,Cs2CO3,784,UPLC,Method1,85,
INonCl-Pd-DMS,Toluene,Cs2CO3,784,UPLC,Method1,82,
IPriPr-Pd-DMS,Toluene,Cs2CO3,784,UPLC,Method1,81,
IPr#-Pd-DMS,Toluene,K3PO4,784,UPLC,Method1,28,
BIAN-IMes-Pd-DMS,Toluene,K3PO4,784,UPLC,Method1,6,
BIAN-IPr-Pd-DMS,Toluene,K3PO4,784,UPLC,Method1,12,
BIAN-IPr#-Pd-DMS,Toluene,K3PO4,784,UPLC,Method1,3,
IPrCl-Pd-DMS,Toluene,K3PO4,784,UPLC,Method1,27,
IPentCl-Pd-DMS,Toluene,K3PO4,784,UPLC,Method1,44,
INonCl-Pd-DMS,Toluene,K3PO4,784,UPLC,Method1,38,
IPriPr-Pd-DMS,Toluene,K3PO4,784,UPLC,Method1,9,
IPr#-Pd-DMS,EtOH,K2CO3,784bis,UPLC,Method1,64,100
BIAN-IMes-Pd-DMS,EtOH,K2CO3,784bis,UPLC,Method1,24,25
BIAN-IPr-Pd-DMS,EtOH,K2CO3,784bis,UPLC,Method1,84,100
BIAN-IPr#-Pd-DMS,EtOH,K2CO3,784bis,UPLC,Method1,18,44
IPrCl-Pd-DMS,EtOH,K2CO3,784bis,UPLC,Method1,84,100
IPentCl-Pd-DMS,EtOH,K2CO3,784bis,UPLC,Method1,78,100
INonCl-Pd-DMS,EtOH,K2CO3,784bis,UPLC,Method1,79,100
IPriPr-Pd-DMS,EtOH,K2CO3,784bis,UPLC,Method1,80,100
IPr#-Pd-DMS,EtOH,Cs2CO3,784bis,UPLC,Method1,14,53
BIAN-IMes-Pd-DMS,EtOH,Cs2CO3,784bis,UPLC,Method1,19,20
BIAN-IPr-Pd-DMS,EtOH,Cs2CO3,784bis,UPLC,Method1,14,20
BIAN-IPr#-Pd-DMS,EtOH,Cs2CO3,784bis,UPLC,Method1,6,20
IPrCl-Pd-DMS,EtOH,Cs2CO3,784bis,UPLC,Method1,20,41
IPentCl-Pd-DMS,EtOH,Cs2CO3,784bis,UPLC,Method1,29,100
INonCl-Pd-DMS,EtOH,Cs2CO3,784bis,UPLC,Method1,71,100
IPriPr-Pd-DMS,EtOH,Cs2CO3,784bis,UPLC,Method1,79,100
IPr#-Pd-DMS,EtOH,K3PO4,784bis,UPLC,Method1,24,100
BIAN-IMes-Pd-DMS,EtOH,K3PO4,784bis,UPLC,Method1,12,10
BIAN-IPr-Pd-DMS,EtOH,K3PO4,784bis,UPLC,Method1,84,100
BIAN-IPr#-Pd-DMS,EtOH,K3PO4,784bis,UPLC,Method1,21,100
IPrCl-Pd-DMS,EtOH,K3PO4,784bis,UPLC,Method1,83,100
IPentCl-Pd-DMS,EtOH,K3PO4,784bis,UPLC,Method1,68,100
INonCl-Pd-DMS,EtOH,K3PO4,784bis,UPLC,Method1,63,100
IPriPr-Pd-DMS,EtOH,K3PO4,784bis,UPLC,Method1,87,100
IPr#-Pd-DMS,iPrOAc,K2CO3,784bis,UPLC,Method1,10,19
BIAN-IMes-Pd-DMS,iPrOAc,K2CO3,784bis,UPLC,Method1,8,7
BIAN-IPr-Pd-DMS,iPrOAc,K2CO3,784bis,UPLC,Method1,13,16
BIAN-IPr#-Pd-DMS,iPrOAc,K2CO3,784bis,UPLC,Method1,5,9
IPrCl-Pd-DMS,iPrOAc,K2CO3,784bis,UPLC,Method1,28,35
IPentCl-Pd-DMS,iPrOAc,K2CO3,784bis,UPLC,Method1,38,48
INonCl-Pd-DMS,iPrOAc,K2CO3,784bis,UPLC,Method1,30,35
IPriPr-Pd-DMS,iPrOAc,K2CO3,784bis,UPLC,Method1,19,24
IPr#-Pd-DMS,iPrOAc,Cs2CO3,784bis,UPLC,Method1,87,100
BIAN-IMes-Pd-DMS,iPrOAc,Cs2CO3,784bis,UPLC,Method1,29,30
BIAN-IPr-Pd-DMS,iPrOAc,Cs2CO3,784bis,UPLC,Method1,60,65
BIAN-IPr#-Pd-DMS,iPrOAc,Cs2CO3,784bis,UPLC,Method1,9,16
IPrCl-Pd-DMS,iPrOAc,Cs2CO3,784bis,UPLC,Method1,87,100
IPentCl-Pd-DMS,iPrOAc,Cs2CO3,784bis,UPLC,Method1,86,100
INonCl-Pd-DMS,iPrOAc,Cs2CO3,784bis,UPLC,Method1,86,100
IPriPr-Pd-DMS,iPrOAc,Cs2CO3,784bis,UPLC,Method1,85,100
IPr#-Pd-DMS,iPrOAc,K3PO4,784bis,UPLC,Method1,25,26
BIAN-IMes-Pd-DMS,iPrOAc,K3PO4,784bis,UPLC,Method1,23,24
BIAN-IPr-Pd-DMS,iPrOAc,K3PO4,784bis,UPLC,Method1,23,29
BIAN-IPr#-Pd-DMS,iPrOAc,K3PO4,784bis,UPLC,Method1,12,15
IPrCl-Pd-DMS,iPrOAc,K3PO4,784bis,UPLC,Method1,47,54
IPentCl-Pd-DMS,iPrOAc,K3PO4,784bis,UPLC,Method1,72,86
INonCl-Pd-DMS,iPrOAc,K3PO4,784bis,UPLC,Method1,32,39
IPriPr-Pd-DMS,iPrOAc,K3PO4,784bis,UPLC,Method1,34,40
IPr#-Pd-DMS,Me-THF,K2CO3,784bis,UPLC,Method1,13,10
BIAN-IMes-Pd-DMS,Me-THF,K2CO3,784bis,UPLC,Method1,5,2
BIAN-IPr-Pd-DMS,Me-THF,K2CO3,784bis,UPLC,Method1,7,5
BIAN-IPr#-Pd-DMS,Me-THF,K2CO3,784bis,UPLC,Method1,3,6
IPrCl-Pd-DMS,Me-THF,K2CO3,784bis,UPLC,Method1,21,22
IPentCl-Pd-DMS,Me-THF,K2CO3,784bis,UPLC,Method1,35,38
INonCl-Pd-DMS,Me-THF,K2CO3,784bis,UPLC,Method1,24,26
IPriPr-Pd-DMS,Me-THF,K2CO3,784bis,UPLC,Method1,17,19
IPr#-Pd-DMS,Me-THF,Cs2CO3,784bis,UPLC,Method1,54,60
BIAN-IMes-Pd-DMS,Me-THF,Cs2CO3,784bis,UPLC,Method1,21,20
BIAN-IPr-Pd-DMS,Me-THF,Cs2CO3,784bis,UPLC,Method1,26,24
BIAN-IPr#-Pd-DMS,Me-THF,Cs2CO3,784bis,UPLC,Method1,7,9
IPrCl-Pd-DMS,Me-THF,Cs2CO3,784bis,UPLC,Method1,69,77
IPentCl-Pd-DMS,Me-THF,Cs2CO3,784bis,UPLC,Method1,87,100
INonCl-Pd-DMS,Me-THF,Cs2CO3,784bis,UPLC,Method1,37,39
IPriPr-Pd-DMS,Me-THF,Cs2CO3,784bis,UPLC,Method1,87,100
IPr#-Pd-DMS,Me-THF,K3PO4,784bis,UPLC,Method1,32,34
BIAN-IMes-Pd-DMS,Me-THF,K3PO4,784bis,UPLC,Method1,14,13
BIAN-IPr-Pd-DMS,Me-THF,K3PO4,784bis,UPLC,Method1,17,16
BIAN-IPr#-Pd-DMS,Me-THF,K3PO4,784bis,UPLC,Method1,5,6
IPrCl-Pd-DMS,Me-THF,K3PO4,784bis,UPLC,Method1,35,37
IPentCl-Pd-DMS,Me-THF,K3PO4,784bis,UPLC,Method1,69,79
INonCl-Pd-DMS,Me-THF,K3PO4,784bis,UPLC,Method1,27,30
IPriPr-Pd-DMS,Me-THF,K3PO4,784bis,UPLC,Method1,23,27
IPr#-Pd-DMS,Toluene,K2CO3,784bis,UPLC,Method1,14,
BIAN-IMes-Pd-DMS,Toluene,K2CO3,784bis,UPLC,Method1,3,
BIAN-IPr-Pd-DMS,Toluene,K2CO3,784bis,UPLC,Method1,3,
BIAN-IPr#-Pd-DMS,Toluene,K2CO3,784bis,UPLC,Method1,3,
IPrCl-Pd-DMS,Toluene,K2CO3,784bis,UPLC,Method1,27,
IPentCl-Pd-DMS,Toluene,K2CO3,784bis,UPLC,Method1,41,
INonCl-Pd-DMS,Toluene,K2CO3,784bis,UPLC,Method1,51,
IPriPr-Pd-DMS,Toluene,K2CO3,784bis,UPLC,Method1,3,
IPr#-Pd-DMS,Toluene,Cs2CO3,784bis,UPLC,Method1,83,
BIAN-IMes-Pd-DMS,Toluene,Cs2CO3,784bis,UPLC,Method1,8,
BIAN-IPr-Pd-DMS,Toluene,Cs2CO3,784bis,UPLC,Method1,25,
BIAN-IPr#-Pd-DMS,Toluene,Cs2CO3,784bis,UPLC,Method1,3,
IPrCl-Pd-DMS,Toluene,Cs2CO3,784bis,UPLC,Method1,76,
IPentCl-Pd-DMS,Toluene,Cs2CO3,784bis,UPLC,Method1,87,
INonCl-Pd-DMS,Toluene,Cs2CO3,784bis,UPLC,Method1,86,
IPriPr-Pd-DMS,Toluene,Cs2CO3,784bis,UPLC,Method1,87,
IPr#-Pd-DMS,Toluene,K3PO4,784bis,UPLC,Method1,26,
BIAN-IMes-Pd-DMS,Toluene,K3PO4,784bis,UPLC,Method1,6,
BIAN-IPr-Pd-DMS,Toluene,K3PO4,784bis,UPLC,Method1,11,
BIAN-IPr#-Pd-DMS,Toluene,K3PO4,784bis,UPLC,Method1,3,
IPrCl-Pd-DMS,Toluene,K3PO4,784bis,UPLC,Method1,25,
IPentCl-Pd-DMS,Toluene,K3PO4,784bis,UPLC,Method1,41,
INonCl-Pd-DMS,Toluene,K3PO4,784bis,UPLC,Method1,39,
IPriPr-Pd-DMS,Toluene,K3PO4,784bis,UPLC,Method1,12,
IPr#-Pd-DMS,EtOH,K2CO3,827,UPLC,Method2,71,100
BIAN-IMes-Pd-DMS,EtOH,K2CO3,827,UPLC,Method2,19,14
BIAN-IPr-Pd-DMS,EtOH,K2CO3,827,UPLC,Method2,90,100
BIAN-IPr#-Pd-DMS,EtOH,K2CO3,827,UPLC,Method2,10,23
IPrCl-Pd-DMS,EtOH,K2CO3,827,UPLC,Method2,91,100
IPentCl-Pd-DMS,EtOH,K2CO3,827,UPLC,Method2,88,100
INonCl-Pd-DMS,EtOH,K2CO3,827,UPLC,Method2,84,100
IPriPr-Pd-DMS,EtOH,K2CO3,827,UPLC,Method2,90,100
IPr#-Pd-DMS,EtOH,Cs2CO3,827,UPLC,Method2,17,70
BIAN-IMes-Pd-DMS,EtOH,Cs2CO3,827,UPLC,Method2,16,16
BIAN-IPr-Pd-DMS,EtOH,Cs2CO3,827,UPLC,Method2,17,23
BIAN-IPr#-Pd-DMS,EtOH,Cs2CO3,827,UPLC,Method2,6,17
IPrCl-Pd-DMS,EtOH,Cs2CO3,827,UPLC,Method2,27,41
IPentCl-Pd-DMS,EtOH,Cs2CO3,827,UPLC,Method2,32,100
INonCl-Pd-DMS,EtOH,Cs2CO3,827,UPLC,Method2,30,100
IPriPr-Pd-DMS,EtOH,Cs2CO3,827,UPLC,Method2,84,100
IPr#-Pd-DMS,EtOH,K3PO4,827,UPLC,Method2,35,100
BIAN-IMes-Pd-DMS,EtOH,K3PO4,827,UPLC,Method2,25,21
BIAN-IPr-Pd-DMS,EtOH,K3PO4,827,UPLC,Method2,87,100
BIAN-IPr#-Pd-DMS,EtOH,K3PO4,827,UPLC,Method2,22,73
IPrCl-Pd-DMS,EtOH,K3PO4,827,UPLC,Method2,87,100
IPentCl-Pd-DMS,EtOH,K3PO4,827,UPLC,Method2,70,100
INonCl-Pd-DMS,EtOH,K3PO4,827,UPLC,Method2,69,100
IPriPr-Pd-DMS,EtOH,K3PO4,827,UPLC,Method2,88,100
IPr#-Pd-DMS,iPrOAc,K2CO3,827,UPLC,Method2,5,0
BIAN-IMes-Pd-DMS,iPrOAc,K2CO3,827,UPLC,Method2,5,1
BIAN-IPr-Pd-DMS,iPrOAc,K2CO3,827,UPLC,Method2,5,9
BIAN-IPr#-Pd-DMS,iPrOAc,K2CO3,827,UPLC,Method2,3,7
IPrCl-Pd-DMS,iPrOAc,K2CO3,827,UPLC,Method2,14,10
IPentCl-Pd-DMS,iPrOAc,K2CO3,827,UPLC,Method2,22,23
INonCl-Pd-DMS,iPrOAc,K2CO3,827,UPLC,Method2,14,17
IPriPr-Pd-DMS,iPrOAc,K2CO3,827,UPLC,Method2,10,12
IPr#-Pd-DMS,iPrOAc,Cs2CO3,827,UPLC,Method2,58,62
BIAN-IMes-Pd-DMS,iPrOAc,Cs2CO3,827,UPLC,Method2,14,10
BIAN-IPr-Pd-DMS,iPrOAc,Cs2CO3,827,UPLC,Method2,69,76
BIAN-IPr#-Pd-DMS,iPrOAc,Cs2CO3,827,UPLC,Method2,8,9
IPrCl-Pd-DMS,iPrOAc,Cs2CO3,827,UPLC,Method2,90,100
IPentCl-Pd-DMS,iPrOAc,Cs2CO3,827,UPLC,Method2,90,100
INonCl-Pd-DMS,iPrOAc,Cs2CO3,827,UPLC,Method2,90,100
IPriPr-Pd-DMS,iPrOAc,Cs2CO3,827,UPLC,Method2,90,100
IPr#-Pd-DMS,iPrOAc,K3PO4,827,UPLC,Method2,59,63
BIAN-IMes-Pd-DMS,iPrOAc,K3PO4,827,UPLC,Method2,29,27
BIAN-IPr-Pd-DMS,iPrOAc,K3PO4,827,UPLC,Method2,35,36
BIAN-IPr#-Pd-DMS,iPrOAc,K3PO4,827,UPLC,Method2,11,11
IPrCl-Pd-DMS,iPrOAc,K3PO4,827,UPLC,Method2,70,76
IPentCl-Pd-DMS,iPrOAc,K3PO4,827,UPLC,Method2,86,100
INonCl-Pd-DMS,iPrOAc,K3PO4,827,UPLC,Method2,48,53
IPriPr-Pd-DMS,iPrOAc,K3PO4,827,UPLC,Method2,58,71
IPr#-Pd-DMS,Me-THF,K2CO3,827,UPLC,Method2,3,0
BIAN-IMes-Pd-DMS,Me-THF,K2CO3,827,UPLC,Method2,3,0
BIAN-IPr-Pd-DMS,Me-THF,K2CO3,827,UPLC,Method2,3,0
BIAN-IPr#-Pd-DMS,Me-THF,K2CO3,827,UPLC,Method2,3,3
IPrCl-Pd-DMS,Me-THF,K2CO3,827,UPLC,Method2,10,0
IPentCl-Pd-DMS,Me-THF,K2CO3,827,UPLC,Method2,13,10
INonCl-Pd-DMS,Me-THF,K2CO3,827,UPLC,Method2,9,5
IPriPr-Pd-DMS,Me-THF,K2CO3,827,UPLC,Method2,4,0
IPr#-Pd-DMS,Me-THF,Cs2CO3,827,UPLC,Method2,53,55
BIAN-IMes-Pd-DMS,Me-THF,Cs2CO3,827,UPLC,Method2,15,8
BIAN-IPr-Pd-DMS,Me-THF,Cs2CO3,827,UPLC,Method2,27,25
BIAN-IPr#-Pd-DMS,Me-THF,Cs2CO3,827,UPLC,Method2,6,5
IPrCl-Pd-DMS,Me-THF,Cs2CO3,827,UPLC,Method2,87,95
IPentCl-Pd-DMS,Me-THF,Cs2CO3,827,UPLC,Method2,90,100
INonCl-Pd-DMS,Me-THF,Cs2CO3,827,UPLC,Method2,76,90
IPriPr-Pd-DMS,Me-THF,Cs2CO3,827,UPLC,Method2,89,100
IPr#-Pd-DMS,Me-THF,K3PO4,827,UPLC,Method2,59,65
BIAN-IMes-Pd-DMS,Me-THF,K3PO4,827,UPLC,Method2,27,24
BIAN-IPr-Pd-DMS,Me-THF,K3PO4,827,UPLC,Method2,31,29
BIAN-IPr#-Pd-DMS,Me-THF,K3PO4,827,UPLC,Method2,7,6
IPrCl-Pd-DMS,Me-THF,K3PO4,827,UPLC,Method2,57,57
IPentCl-Pd-DMS,Me-THF,K3PO4,827,UPLC,Method2,86,99
INonCl-Pd-DMS,Me-THF,K3PO4,827,UPLC,Method2,67,74
IPriPr-Pd-DMS,Me-THF,K3PO4,827,UPLC,Method2,66,76
IPr#-Pd-DMS,Toluene,K2CO3,827,UPLC,Method2,3,
BIAN-IMes-Pd-DMS,Toluene,K2CO3,827,UPLC,Method2,3,
BIAN-IPr-Pd-DMS,Toluene,K2CO3,827,UPLC,Method2,14,
BIAN-IPr#-Pd-DMS,Toluene,K2CO3,827,UPLC,Method2,3,
IPrCl-Pd-DMS,Toluene,K2CO3,827,UPLC,Method2,11,
IPentCl-Pd-DMS,Toluene,K2CO3,827,UPLC,Method2,11,
INonCl-Pd-DMS,Toluene,K2CO3,827,UPLC,Method2,15,
IPriPr-Pd-DMS,Toluene,K2CO3,827,UPLC,Method2,3,
IPr#-Pd-DMS,Toluene,Cs2CO3,827,UPLC,Method2,85,
BIAN-IMes-Pd-DMS,Toluene,Cs2CO3,827,UPLC,Method2,15,
BIAN-IPr-Pd-DMS,Toluene,Cs2CO3,827,UPLC,Method2,26,
BIAN-IPr#-Pd-DMS,Toluene,Cs2CO3,827,UPLC,Method2,3,
IPrCl-Pd-DMS,Toluene,Cs2CO3,827,UPLC,Method2,66,
IPentCl-Pd-DMS,Toluene,Cs2CO3,827,UPLC,Method2,88,
INonCl-Pd-DMS,Toluene,Cs2CO3,827,UPLC,Method2,97,
IPriPr-Pd-DMS,Toluene,Cs2CO3,827,UPLC,Method2,96,
IPr#-Pd-DMS,Toluene,K3PO4,827,UPLC,Method2,30,
BIAN-IMes-Pd-DMS,Toluene,K3PO4,827,UPLC,Method2,6,
BIAN-IPr-Pd-DMS,Toluene,K3PO4,827,UPLC,Method2,9,
BIAN-IPr#-Pd-DMS,Toluene,K3PO4,827,UPLC,Method2,3,
IPrCl-Pd-DMS,Toluene,K3PO4,827,UPLC,Method2,40,
IPentCl-Pd-DMS,Toluene,K3PO4,827,UPLC,Method2,63,
INonCl-Pd-DMS,Toluene,K3PO4,827,UPLC,Method2,69,
IPriPr-Pd-DMS,Toluene,K3PO4,827,UPLC,Method2,17,
IPr#-Pd-DMS,EtOH,K2CO3,828,UPLC,Method2,70,97
BIAN-IMes-Pd-DMS,EtOH,K2CO3,828,UPLC,Method2,18,11
BIAN-IPr-Pd-DMS,EtOH,K2CO3,828,UPLC,Method2,87,96
BIAN-IPr#-Pd-DMS,EtOH,K2CO3,828,UPLC,Method2,11,22
IPrCl-Pd-DMS,EtOH,K2CO3,828,UPLC,Method2,89,97
IPentCl-Pd-DMS,EtOH,K2CO3,828,UPLC,Method2,86,96
INonCl-Pd-DMS,EtOH,K2CO3,828,UPLC,Method2,73,96
IPriPr-Pd-DMS,EtOH,K2CO3,828,UPLC,Method2,89,96
IPr#-Pd-DMS,EtOH,Cs2CO3,828,UPLC,Method2,16,59
BIAN-IMes-Pd-DMS,EtOH,Cs2CO3,828,UPLC,Method2,16,14
BIAN-IPr-Pd-DMS,EtOH,Cs2CO3,828,UPLC,Method2,18,20
BIAN-IPr#-Pd-DMS,EtOH,Cs2CO3,828,UPLC,Method2,6,12
IPrCl-Pd-DMS,EtOH,Cs2CO3,828,UPLC,Method2,30,38
IPentCl-Pd-DMS,EtOH,Cs2CO3,828,UPLC,Method2,36,96
INonCl-Pd-DMS,EtOH,Cs2CO3,828,UPLC,Method2,35,97
IPriPr-Pd-DMS,EtOH,Cs2CO3,828,UPLC,Method2,84,96
IPr#-Pd-DMS,EtOH,K3PO4,828,UPLC,Method2,38,97
BIAN-IMes-Pd-DMS,EtOH,K3PO4,828,UPLC,Method2,24,15
BIAN-IPr-Pd-DMS,EtOH,K3PO4,828,UPLC,Method2,88,97
BIAN-IPr#-Pd-DMS,EtOH,K3PO4,828,UPLC,Method2,23,81
IPrCl-Pd-DMS,EtOH,K3PO4,828,UPLC,Method2,88,97
IPentCl-Pd-DMS,EtOH,K3PO4,828,UPLC,Method2,73,97
INonCl-Pd-DMS,EtOH,K3PO4,828,UPLC,Method2,71,97
IPriPr-Pd-DMS,EtOH,K3PO4,828,UPLC,Method2,90,97
IPr#-Pd-DMS,iPrOAc,K2CO3,828,UPLC,Method2,5,0
BIAN-IMes-Pd-DMS,iPrOAc,K2CO3,828,UPLC,Method2,5,0
BIAN-IPr-Pd-DMS,iPrOAc,K2CO3,828,UPLC,Method2,6,0
BIAN-IPr#-Pd-DMS,iPrOAc,K2CO3,828,UPLC,Method2,3,9
IPrCl-Pd-DMS,iPrOAc,K2CO3,828,UPLC,Method2,14,5
IPentCl-Pd-DMS,iPrOAc,K2CO3,828,UPLC,Method2,21,18
INonCl-Pd-DMS,iPrOAc,K2CO3,828,UPLC,Method2,13,9
IPriPr-Pd-DMS,iPrOAc,K2CO3,828,UPLC,Method2,10,7
IPr#-Pd-DMS,iPrOAc,Cs2CO3,828,UPLC,Method2,88,97
BIAN-IMes-Pd-DMS,iPrOAc,Cs2CO3,828,UPLC,Method2,13,5
BIAN-IPr-Pd-DMS,iPrOAc,Cs2CO3,828,UPLC,Method2,72,77
BIAN-IPr#-Pd-DMS,iPrOAc,Cs2CO3,828,UPLC,Method2,8,4
IPrCl-Pd-DMS,iPrOAc,Cs2CO3,828,UPLC,Method2,91,94
IPentCl-Pd-DMS,iPrOAc,Cs2CO3,828,UPLC,Method2,92,96
INonCl-Pd-DMS,iPrOAc,Cs2CO3,828,UPLC,Method2,89,97
IPriPr-Pd-DMS,iPrOAc,Cs2CO3,828,UPLC,Method2,90,97
IPr#-Pd-DMS,iPrOAc,K3PO4,828,UPLC,Method2,48,46
BIAN-IMes-Pd-DMS,iPrOAc,K3PO4,828,UPLC,Method2,29,24
BIAN-IPr-Pd-DMS,iPrOAc,K3PO4,828,UPLC,Method2,35,32
BIAN-IPr#-Pd-DMS,iPrOAc,K3PO4,828,UPLC,Method2,11,6
IPrCl-Pd-DMS,iPrOAc,K3PO4,828,UPLC,Method2,65,66
IPentCl-Pd-DMS,iPrOAc,K3PO4,828,UPLC,Method2,88,92
INonCl-Pd-DMS,iPrOAc,K3PO4,828,UPLC,Method2,49,52
IPriPr-Pd-DMS,iPrOAc,K3PO4,828,UPLC,Method2,81,92
IPr#-Pd-DMS,Me-THF,K2CO3,828,UPLC,Method2,3,0
BIAN-IMes-Pd-DMS,Me-THF,K2CO3,828,UPLC,Method2,3,0
BIAN-IPr-Pd-DMS,Me-THF,K2CO3,828,UPLC,Method2,3,0
BIAN-IPr#-Pd-DMS,Me-THF,K2CO3,828,UPLC,Method2,3,0
IPrCl-Pd-DMS,Me-THF,K2CO3,828,UPLC,Method2,5,0
IPentCl-Pd-DMS,Me-THF,K2CO3,828,UPLC,Method2,12,3
INonCl-Pd-DMS,Me-THF,K2CO3,828,UPLC,Method2,8,0
IPriPr-Pd-DMS,Me-THF,K2CO3,828,UPLC,Method2,4,0
IPr#-Pd-DMS,Me-THF,Cs2CO3,828,UPLC,Method2,22,19
BIAN-IMes-Pd-DMS,Me-THF,Cs2CO3,828,UPLC,Method2,15,7
BIAN-IPr-Pd-DMS,Me-THF,Cs2CO3,828,UPLC,Method2,28,25
BIAN-IPr#-Pd-DMS,Me-THF,Cs2CO3,828,UPLC,Method2,6,0
IPrCl-Pd-DMS,Me-THF,Cs2CO3,828,UPLC,Method2,89,93
IPentCl-Pd-DMS,Me-THF,Cs2CO3,828,UPLC,Method2,90,96
INonCl-Pd-DMS,Me-THF,Cs2CO3,828,UPLC,Method2,89,96
IPriPr-Pd-DMS,Me-THF,Cs2CO3,828,UPLC,Method2,89,97
IPr#-Pd-DMS,Me-THF,K3PO4,828,UPLC,Method2,61,62
BIAN-IMes-Pd-DMS,Me-THF,K3PO4,828,UPLC,Method2,24,18
BIAN-IPr-Pd-DMS,Me-THF,K3PO4,828,UPLC,Method2,19,13
BIAN-IPr#-Pd-DMS,Me-THF,K3PO4,828,UPLC,Method2,7,4
IPrCl-Pd-DMS,Me-THF,K3PO4,828,UPLC,Method2,59,57
IPentCl-Pd-DMS,Me-THF,K3PO4,828,UPLC,Method2,88,96
INonCl-Pd-DMS,Me-THF,K3PO4,828,UPLC,Method2,49,50
IPriPr-Pd-DMS,Me-THF,K3PO4,828,UPLC,Method2,66,73
IPr#-Pd-DMS,Toluene,K2CO3,828,UPLC,Method2,3,
BIAN-IMes-Pd-DMS,Toluene,K2CO3,828,UPLC,Method2,3,
BIAN-IPr-Pd-DMS,Toluene,K2CO3,828,UPLC,Method2,3,
BIAN-IPr#-Pd-DMS,Toluene,K2CO3,828,UPLC,Method2,3,
IPrCl-Pd-DMS,Toluene,K2CO3,828,UPLC,Method2,6,
IPentCl-Pd-DMS,Toluene,K2CO3,828,UPLC,Method2,10,
INonCl-Pd-DMS,Toluene,K2CO3,828,UPLC,Method2,10,
IPriPr-Pd-DMS,Toluene,K2CO3,828,UPLC,Method2,3,
IPr#-Pd-DMS,Toluene,Cs2CO3,828,UPLC,Method2,71,
BIAN-IMes-Pd-DMS,Toluene,Cs2CO3,828,UPLC,Method2,13,
BIAN-IPr-Pd-DMS,Toluene,Cs2CO3,828,UPLC,Method2,22,
BIAN-IPr#-Pd-DMS,Toluene,Cs2CO3,828,UPLC,Method2,3,
IPrCl-Pd-DMS,Toluene,Cs2CO3,828,UPLC,Method2,67,
IPentCl-Pd-DMS,Toluene,Cs2CO3,828,UPLC,Method2,77,
INonCl-Pd-DMS,Toluene,Cs2CO3,828,UPLC,Method2,,
IPriPr-Pd-DMS,Toluene,Cs2CO3,828,UPLC,Method2,71,
IPr#-Pd-DMS,Toluene,K3PO4,828,UPLC,Method2,40,
BIAN-IMes-Pd-DMS,Toluene,K3PO4,828,UPLC,Method2,6,
BIAN-IPr-Pd-DMS,Toluene,K3PO4,828,UPLC,Method2,10,
BIAN-IPr#-Pd-DMS,Toluene,K3PO4,828,UPLC,Method2,3,
IPrCl-Pd-DMS,Toluene,K3PO4,828,UPLC,Method2,40,
IPentCl-Pd-DMS,Toluene,K3PO4,828,UPLC,Method2,39,
INonCl-Pd-DMS,Toluene,K3PO4,828,UPLC,Method2,45,
IPriPr-Pd-DMS,Toluene,K3PO4,828,UPLC,Method2,17,
IPr#-Pd-DMS,EtOH,K2CO3,827,GC,Method2,71,100
BIAN-IMes-Pd-DMS,EtOH,K2CO3,827,GC,Method2,15,22
BIAN-IPr-Pd-DMS,EtOH,K2CO3,827,GC,Method2,91,100
BIAN-IPr#-Pd-DMS,EtOH,K2CO3,827,GC,Method2,8,25
IPrCl-Pd-DMS,EtOH,K2CO3,827,GC,Method2,92,100
IPentCl-Pd-DMS,EtOH,K2CO3,827,GC,Method2,88,100
INonCl-Pd-DMS,EtOH,K2CO3,827,GC,Method2,84,100
IPriPr-Pd-DMS,EtOH,K2CO3,827,GC,Method2,92,100
IPr#-Pd-DMS,EtOH,Cs2CO3,827,GC,Method2,15,74
BIAN-IMes-Pd-DMS,EtOH,Cs2CO3,827,GC,Method2,13,23
