batch,index,type,alkali,cobalt_catalyst,organo_catalyst,oxidant,solvent,pred yield,pred ee,yield,ee
1,1,Unknown,DABCO,[Co]-7,(S)-Proline,Iodine_ox,Toluene,81.65±20.68,84.91±21.24,[exp_data],[exp_data]
1,2,Unknown,DABCO,[Co]-8,BINOL-PA,Iodine_ox,Toluene,81.24±14.95,89.48±15.58,[exp_data],[exp_data]
1,3,Unknown,acetic acid,[Co]-8,Quinine,Iodine_ox,Ether,85.90±14.99,83.83±14.01,[exp_data],[exp_data]
1,4,Unknown,acetic acid,[Co]-7,BINOL-PA,Iodine_ox,Ether,84.19±22.81,78.27±23.24,[exp_data],[exp_data]
1,5,Unknown,DABCO,[Co]-8,Quinine,Iodine_ox,Toluene,82.70±13.57,89.67±14.36,[exp_data],[exp_data]
