batch,index,type,alkali,cobalt_catalyst,organo_catalyst,oxidant,solvent,pred yield,pred ee,yield,ee
0,1,EXPLORE,Na2CO3,[Co]-1,MacMillan Gen 1,F_OTf,HFIP,-,-,[exp_data],[exp_data]
0,2,EXPLORE,DBU,[Co]-7,Rawal Squaramide,K2S2O8,Toluene,-,-,[exp_data],[exp_data]
0,3,EXPLORE,no_alkali,[Co]-5,(S)-Proline,Iodine_ox,Ether,-,-,[exp_data],[exp_data]
0,4,EXPLORE,DBU,[Co]-5,Me-CBS,NCS,Chloroform,-,-,[exp_data],[exp_data]
0,5,EXPLORE,DBU,[Co]-6,DPEN,F_OTf,DCE,-,-,[exp_data],[exp_data]
0,6,EXPLORE,DBU,[Co]-5,(S)-Proline,Cl-2,DMF,-,-,[exp_data],[exp_data]
0,7,EXPLORE,DBU,[Co]-3,Me-CBS,Iodine_ox,Ether,-,-,[exp_data],[exp_data]
0,8,EXPLORE,no_alkali,[Co]-5,Me-CBS,NCS,THF,-,-,[exp_data],[exp_data]
