Index,Reaction1,Reaction2,Catalyst1,Catalyst2,Product,Yield,ee
11,[H]C(CCCCC#C)=O,[H]C1=CC=C(C(CBr)=O)C=C1,CC(C=C1)=CC=C1C2=NC(C3=CC=C(C)C=C3)=NC(C4=CC=C(C)C=C4)=N2,N[C@H]([C@@H](NS(=O)(C1=CC=C(C)C=C1)=O)C2=CC=CC=C2)C3=CC=CC=C3,[H]C([C@H](CCCC#C)CC(C1=CC=C([H])C=C1)=O)=O,0.14376892439163688,0.777874089889721
12,[H]C(CCCCC#C)=O,[H]C1=CC=C(C(CBr)=O)C=C1,COC(C=C1)=CC=C1C2=NC(C3=CC=C(OC)C=C3)=NC(C4=CC=C(OC)C=C4)=N2,N[C@H]([C@@H](NS(=O)(C1=CC=C(C)C=C1)=O)C2=CC=CC=C2)C3=CC=CC=C3,[H]C([C@H](CCCC#C)CC(C1=CC=C([H])C=C1)=O)=O,0.11870532691138866,0.761219655145412
13,[H]C(CCCCC#C)=O,[H]C1=CC=C(C(CBr)=O)C=C1,CC1=CC2=C(C=C1C)N=C(C(N2C[C@@H](OC(CCC)=O)[C@@H](OC(CCC)=O)[C@@H](OC(CCC)=O)COC(CCC)=O)=N3)C(NC3=O)=O,N[C@H]([C@@H](NS(=O)(C1=CC=C(C)C=C1)=O)C2=CC=CC=C2)C3=CC=CC=C3,[H]C([C@H](CCCC#C)CC(C1=CC=C([H])C=C1)=O)=O,0.19143250228049308,0.784723816552696
14,[H]C(CCCCC#C)=O,CC1=CC=C(C(CBr)=O)C=C1,FC1=CC(F)=C(C2=CC=C(C(F)(F)F)C=[N+]2[Ir-3]345([N+]6=CC=C(C(C)(C)C)C=C6C7=[N+]5C=CC(C(C)(C)C)=C7)[N+]8=CC(C(F)(F)F)=CC=C8C9=C(F)C=C(F)C=C94)C3=C1.F[P-](F)(F)(F)(F)F,N[C@H]([C@@H](NS(=O)(C1=CC=C(C)C=C1)=O)C2=CC=CC=C2)C3=CC=CC=C3,[H]C([C@H](CCCC#C)CC(C1=CC=C(C)C=C1)=O)=O,0.1298693715123806,0.799659717085981
15,[H]C(CCCCC#C)=O,CC1=CC=C(C(CBr)=O)C=C1,C1(C2=CC=CC=[N+]23)=CC=CC=C1[Ir-3]435(C6=CC=CC=C6C7=CC=CC=[N+]75)[N+]8=CC=CC=C8C9=CC=CC=C94,N[C@H]([C@@H](NS(=O)(C1=CC=C(C)C=C1)=O)C2=CC=CC=C2)C3=CC=CC=C3,[H]C([C@H](CCCC#C)CC(C1=CC=C(C)C=C1)=O)=O,0.5749396057516623,0.815879968829713
16,[H]C(CCCCC#C)=O,CC1=CC=C(C(CBr)=O)C=C1,F[P-](F)(F)(F)(F)F.C1(C2=CC=CC=[N+]23)=CC=CC=C1[Ir-3]435([N+]6=CC=CC=C6C7=CC=CC=[N+]75)[N+]8=CC=CC=C8C9=CC=CC=C94,N[C@H]([C@@H](NS(=O)(C1=CC=C(C)C=C1)=O)C2=CC=CC=C2)C3=CC=CC=C3,[H]C([C@H](CCCC#C)CC(C1=CC=C(C)C=C1)=O)=O,0.4098148751512798,0.816656904687397
17,[H]C(CCCCC#C)=O,CC1=CC=C(C(CBr)=O)C=C1,FC1=CC(F)=C(C2=[N+]3C=CC=C2)C([Ir-3]435(C6=CC(F)=CC(F)=C6C7=[N+]5C=CC=C7)C8=CC(F)=CC(F)=C8C9=[N+]4C=CC=C9)=C1,N[C@H]([C@@H](NS(=O)(C1=CC=C(C)C=C1)=O)C2=CC=CC=C2)C3=CC=CC=C3,[H]C([C@H](CCCC#C)CC(C1=CC=C(C)C=C1)=O)=O,0.38908733288220904,0.795505451440642
18,[H]C(CCCCC#C)=O,CC1=CC=C(C(CBr)=O)C=C1,C1(C2=CC=CC=[N+]23)=CC=CC=[N+]1[Ru-6]435([N+]6=CC=CC=C6C7=CC=CC=[N+]75)[N+]8=CC=CC=C8C9=CC=CC=[N+]94.[Cl-].[Cl-].O.O.O.O.O.O,N[C@H]([C@@H](NS(=O)(C1=CC=C(C)C=C1)=O)C2=CC=CC=C2)C3=CC=CC=C3,[H]C([C@H](CCCC#C)CC(C1=CC=C(C)C=C1)=O)=O,0.1607484552219962,0.826340120993355
19,[H]C(CCCCC#C)=O,CC1=CC=C(C(CBr)=O)C=C1,F[P-](F)(F)(F)(F)F.F[P-](F)(F)(F)(F)F.C1(C2=CC=CC=[N+]23)=CC=CC=[N+]1[Ru-4]435([N+]6=CC=CC=C6C7=CC=CC=[N+]75)[N+]8=CC=CC=C8C9=CC=CC=[N+]94,N[C@H]([C@@H](NS(=O)(C1=CC=C(C)C=C1)=O)C2=CC=CC=C2)C3=CC=CC=C3,[H]C([C@H](CCCC#C)CC(C1=CC=C(C)C=C1)=O)=O,0.2396358357720545,0.821658277965733
20,[H]C(CCCCC#C)=O,CC1=CC=C(C(CBr)=O)C=C1,C[N+]1=C2C=CC=CC2=C(C3=C(C)C=CC=C3C)C4=C1C=CC=C4.O=Cl(=O)([O-])=O,N[C@H]([C@@H](NS(=O)(C1=CC=C(C)C=C1)=O)C2=CC=CC=C2)C3=CC=CC=C3,[H]C([C@H](CCCC#C)CC(C1=CC=C(C)C=C1)=O)=O,0.03923202145822142,0.668655823142862
