batch,index,type,alkali,cobalt_catalyst,organo_catalyst,oxidant,solvent,pred yield,pred ee,yield,ee
0,1,EXPLORE,DBU,[Co]-5,Me-CBS,KHSO5_2H2SO4,CH3CN,-,-,[exp_data],[exp_data]
0,2,EXPLORE,no_alkali,[Co]-2,Hayashi-Jorgensen,Cl-2,Chloroform,-,-,[exp_data],[exp_data]
0,3,EXPLORE,no_alkali,[Co]-8,(S)-Proline,K2S2O8,THF,-,-,[exp_data],[exp_data]
0,4,EXPLORE,DBU,[Co]-5,Hayashi-Jorgensen,Iodine_ox,Toluene,-,-,[exp_data],[exp_data]
0,5,EXPLORE,acetic acid,[Co]-5,MacMillan Gen 1,F-1_BF4,Ether,-,-,[exp_data],[exp_data]
