batch,index,type,Catalyst1,Catalyst2,Reaction1,Reaction2,yield,ee
2,1,explore,C[N+]1=C2C=CC=CC2=C(C3=C(C)C=CC=C3C)C4=C1C=CC=C4.O=Cl(=O)([O-])=O,O=C([C@H]1NC2=CC=CC=C2C1)N,[H]C(CCCCC#C)=O,FC1=CC=C(C(CBr)=O)C=C1,,
2,2,explore,C[N+]1=C2C=CC=CC2=C(C3=C(C)C=CC=C3C)C4=C1C=CC=C4.O=Cl(=O)([O-])=O,CC(C)(C)[C@@H](N1C)[NH2+][C@@H](C)C1=O.[O-]S(=O)(C(F)(F)F)=O,[H]C(CCCCC#C)=O,FC1=CC=C(C(CBr)=O)C=C1,,
2,3,explore,COC(C=C1)=CC=C1C2=NC(C3=CC=C(OC)C=C3)=NC(C4=CC=C(OC)C=C4)=N2,O=C([C@H]1NC2=CC=CC=C2C1)N,[H]C(CCCCC#C)=O,FC1=CC=C(C(CBr)=O)C=C1,,
2,4,explore,CC1=CC2=C(C=C1C)N=C(C(N2C[C@@H](OC(CCC)=O)[C@@H](OC(CCC)=O)[C@@H](OC(CCC)=O)COC(CCC)=O)=N3)C(NC3=O)=O,O=C([C@H]1NC2=CC=CC=C2C1)N,[H]C(CCCCC#C)=O,FC1=CC=C(C(CBr)=O)C=C1,,
2,5,explore,[O-]C1=C(Br)C(O2)=C(C=C1Br)C(C3=C(C([O-])=O)C=CC=C3)C(C=C4Br)C2=C(Br)C4=O.[Na+].[Na+],O=C([C@H]1NC2=CC=CC=C2C1)N,[H]C(CCCCC#C)=O,FC1=CC=C(C(CBr)=O)C=C1,,
