batch,index,type,Catalyst1,Catalyst2,Reaction1,Reaction2,yield,ee
4,1,explore,FC1=CC(F)=C(C2=[N+]3C=CC=C2)C([Ir-3]435(C6=CC(F)=CC(F)=C6C7=[N+]5C=CC=C7)C8=CC(F)=CC(F)=C8C9=[N+]4C=CC=C9)=C1,FC(C1=CC(C([C@@H]2CCCN2)(O[Si](C)(C)C)C3=CC(C(F)(F)F)=CC(C(F)(F)F)=C3)=CC(C(F)(F)F)=C1)(F)F,[H]C(CCCCC#C)=O,FC1=CC=C(C(CBr)=O)C=C1,,
4,2,explore,CC(C=C1)=CC=C1C2=NC(C3=CC=C(C)C=C3)=NC(C4=CC=C(C)C=C4)=N2,FC(C1=CC(C([C@@H]2CCCN2)(O[Si](C)(C)C)C3=CC(C(F)(F)F)=CC(C(F)(F)F)=C3)=CC(C(F)(F)F)=C1)(F)F,[H]C(CCCCC#C)=O,FC1=CC=C(C(CBr)=O)C=C1,,
4,3,explore,CC/[N+](CC)=C1C=CC2=C(C3=C(OC2=C\1)C=C(C=C3)N(CC)CC)C4=CC=CC=C4C(O)=O.[Cl-],FC(C1=CC(C([C@@H]2CCCN2)(O[Si](C)(C)C)C3=CC(C(F)(F)F)=CC(C(F)(F)F)=C3)=CC(C(F)(F)F)=C1)(F)F,[H]C(CCCCC#C)=O,FC1=CC=C(C(CBr)=O)C=C1,,
4,4,explore,COC(C=C1)=CC=C1C2=NC(C3=CC=C(OC)C=C3)=NC(C4=CC=C(OC)C=C4)=N2,FC(C1=CC(C([C@@H]2CCCN2)(O[Si](C)(C)C)C3=CC(C(F)(F)F)=CC(C(F)(F)F)=C3)=CC(C(F)(F)F)=C1)(F)F,[H]C(CCCCC#C)=O,FC1=CC=C(C(CBr)=O)C=C1,,
4,5,explore,FC1=CC(F)=C(C2=CC=C(C(F)(F)F)C=[N+]2[Ir-3]345([N+]6=CC=C(C(C)(C)C)C=C6C7=[N+]5C=CC(C(C)(C)C)=C7)[N+]8=CC(C(F)(F)F)=CC=C8C9=C(F)C=C(F)C=C94)C3=C1.F[P-](F)(F)(F)(F)F,FC(C1=CC(C([C@@H]2CCCN2)(O[Si](C)(C)C)C3=CC(C(F)(F)F)=CC(C(F)(F)F)=C3)=CC(C(F)(F)F)=C1)(F)F,[H]C(CCCCC#C)=O,FC1=CC=C(C(CBr)=O)C=C1,,
