SMILES,Molecule,select_tag
O=C([O-])O.[K+],KHCO3,True
O=C([O-])O.[Na+],NaHCO3,False
O=C([O-])[O-].[Na+].[Na+],Na2CO3,False
O=C([O-])[O-].[K+].[K+],K2CO3,True
O=P([O-])(O)O.[K+],KH2PO4,True
O=P([O-])([O-])[O-].[K+].[K+].[K+],K3PO4,True
O=C([O-])[O-].[Cs+].[Cs+],Cs2CO3,False
C1CN2CCN1CC2,DABCO,True
CN(C)c1ccncc1,DMAP,True
c1ccncc1,pyridine,True
CC(=O)O,acetic acid,True
C1CCC2=NCCCN2CC1,DBU,True
O=C(O)c1ccccc1,benzoic acid,True
blanck_cell,blanck_cell,True
