SMILES,Molecule,select_tag
ClCCl,DCM,True
CC#N,CH3CN,True
Cc1ccccc1,Toluene,False
ClCCCl,DCE,True
ClC(Cl)Cl,Chloroform,True
C1CCOC1,THF,False
CCOCC,Ether,False
CN(C)C=O,DMF,False
CS(C)=O,DMSO,False
OC(C(F)(F)F)C(F)(F)F,HFIP,False
