step,init_method,init_sample,batch,n_experiments,thresholds,dmaximin_pareto,acquisition,dmaximin_tradeoff,hypervolume_ground,hypervolume_sampled,hypervolume completed (%),sample_index,MAE_yield,RMSE_yield,R2_yield,MAE_cost,RMSE_cost,R2_cost,yield_collected_values,cost_collected_values,yield_best,cost_best
0,cvtsampling,1,5,10,"[None, None]",24.610064874377382,EHVI,11.070012972772403,0.9914711713790894,0.7315852642059326,73.7878503505384,749,22.947907406164862,26.13255895557159,-0.1287704714965316,0.0773559185184004,0.1148363216798578,-0.0524257152637097,39.32,0.031555219,75.39,0.029979486
0,cvtsampling,1,5,10,"[None, None]",24.610064874377382,EHVI,11.070012972772403,0.9914711713790894,0.7315852642059326,73.7878503505384,701,22.947907406164862,26.13255895557159,-0.1287704714965316,0.0773559185184004,0.1148363216798578,-0.0524257152637097,75.39,0.042394201,75.39,0.029979486
0,cvtsampling,1,5,10,"[None, None]",24.610064874377382,EHVI,11.070012972772403,0.9914711713790894,0.7315852642059326,73.7878503505384,695,22.947907406164862,26.13255895557159,-0.1287704714965316,0.0773559185184004,0.1148363216798578,-0.0524257152637097,40.06,0.11632783,75.39,0.029979486
0,cvtsampling,1,5,10,"[None, None]",24.610064874377382,EHVI,11.070012972772403,0.9914711713790894,0.7315852642059326,73.7878503505384,673,22.947907406164862,26.13255895557159,-0.1287704714965316,0.0773559185184004,0.1148363216798578,-0.0524257152637097,0.0,0.03855042,75.39,0.029979486
0,cvtsampling,1,5,10,"[None, None]",24.610064874377382,EHVI,11.070012972772403,0.9914711713790894,0.7315852642059326,73.7878503505384,672,22.947907406164862,26.13255895557159,-0.1287704714965316,0.0773559185184004,0.1148363216798578,-0.0524257152637097,5.49,0.141125049,75.39,0.029979486
1,cvtsampling,1,5,15,"[None, None]",24.610064874377382,EHVI,11.070012972772403,0.9914711713790894,0.7315852642059326,73.7878503505384,1657,23.46796849375253,26.58135112441859,-0.1678736682945962,0.0764083081970702,0.1193855892829399,-0.1374615362635947,0.0,0.034676685,75.39,0.029979486
1,cvtsampling,1,5,15,"[None, None]",24.610064874377382,EHVI,11.070012972772403,0.9914711713790894,0.7315852642059326,73.7878503505384,1565,23.46796849375253,26.58135112441859,-0.1678736682945962,0.0764083081970702,0.1193855892829399,-0.1374615362635947,0.0,0.035932514,75.39,0.029979486
1,cvtsampling,1,5,15,"[None, None]",24.610064874377382,EHVI,11.070012972772403,0.9914711713790894,0.7315852642059326,73.7878503505384,699,23.46796849375253,26.58135112441859,-0.1678736682945962,0.0764083081970702,0.1193855892829399,-0.1374615362635947,0.0,0.039485903,75.39,0.029979486
1,cvtsampling,1,5,15,"[None, None]",24.610064874377382,EHVI,11.070012972772403,0.9914711713790894,0.7315852642059326,73.7878503505384,605,23.46796849375253,26.58135112441859,-0.1678736682945962,0.0764083081970702,0.1193855892829399,-0.1374615362635947,32.5,0.042064884,75.39,0.029979486
1,cvtsampling,1,5,15,"[None, None]",24.610064874377382,EHVI,11.070012972772403,0.9914711713790894,0.7315852642059326,73.7878503505384,509,23.46796849375253,26.58135112441859,-0.1678736682945962,0.0764083081970702,0.1193855892829399,-0.1374615362635947,43.22,0.075501167,75.39,0.029979486
2,cvtsampling,1,5,20,"[None, None]",24.610064874377382,EHVI,11.070012972772403,0.9914711713790894,0.7315852642059326,73.7878503505384,1721,20.67124047176256,24.564445936530102,0.0026313620192628,0.0778501329136166,0.1251891859211209,-0.2507385492044824,0.0,0.071029328,75.39,0.029979486
2,cvtsampling,1,5,20,"[None, None]",24.610064874377382,EHVI,11.070012972772403,0.9914711713790894,0.7315852642059326,73.7878503505384,1712,20.67124047176256,24.564445936530102,0.0026313620192628,0.0778501329136166,0.1251891859211209,-0.2507385492044824,17.56,0.034297863,75.39,0.029979486
2,cvtsampling,1,5,20,"[None, None]",24.610064874377382,EHVI,11.070012972772403,0.9914711713790894,0.7315852642059326,73.7878503505384,1584,20.67124047176256,24.564445936530102,0.0026313620192628,0.0778501329136166,0.1251891859211209,-0.2507385492044824,14.19,0.041866937,75.39,0.029979486
2,cvtsampling,1,5,20,"[None, None]",24.610064874377382,EHVI,11.070012972772403,0.9914711713790894,0.7315852642059326,73.7878503505384,1281,20.67124047176256,24.564445936530102,0.0026313620192628,0.0778501329136166,0.1251891859211209,-0.2507385492044824,15.64,0.395717415,75.39,0.029979486
2,cvtsampling,1,5,20,"[None, None]",24.610064874377382,EHVI,11.070012972772405,0.9914711713790894,0.7315852642059326,73.7878503505384,922,20.671240471762562,24.564445936530102,0.0026313620192628395,0.07785013291361668,0.12518918592112094,-0.25073854920448246,21.51,0.06850698,75.39,0.029979486
