step,n_experiments,yield_best,cost_best,hypervolume,hypervolume completed (%),round_id,seed
0,3,10.05,0.275221281,8.177086733100001,0.028226793139498982,7,7
0,4,10.05,0.275221281,8.177086733100001,0.028226793139498982,7,7
0,5,20.22,0.086492826,26.64820179138,0.09198792969384914,7,7
1,10,20.22,0.086492826,35.029976200600004,0.12092129191847922,7,7
2,15,35.91,0.203178757,141.94549942158,0.48998700637933074,7,7
3,20,73.33,0.041284084,395.34600360299004,1.3647097342207861,7,7
4,25,73.33,0.041284084,395.34600360299,1.364709734220786,7,7
5,30,73.33,0.041284084,608.86930685043,2.101778852838669,7,7
6,35,73.33,0.041284084,697.1274343976,2.406440401684566,7,7
7,40,91.27,0.03558821,1069.74497368148,3.6926928953679528,7,7
8,45,91.27,0.03558821,1069.74497368148,3.6926928953679528,7,7
9,50,91.27,0.03558821,1178.1683051535101,4.066963469821807,7,7
10,55,91.27,0.03558821,1391.0416278940702,4.801788896289753,7,7
11,60,91.27,0.03558821,1391.04162789407,4.801788896289752,7,7
0,1,87.0,0.053363987,82.357333131,0.2842923747401951,8,8
0,2,87.0,0.053363987,122.31417269326,0.4222208915390481,8,8
0,3,87.0,0.053363987,127.41289431394,0.4398213604053315,8,8
0,4,87.0,0.053363987,146.81745179758,0.5068046819637387,8,8
0,5,87.0,0.053363987,156.31880012058,0.5396027434755521,8,8
1,10,87.0,0.053363987,162.63382980152997,0.5614018318663382,8,8
2,15,87.0,0.053363987,162.63382980152997,0.5614018318663382,8,8
3,20,87.0,0.053363987,257.77249969563,0.8898145835370987,8,8
4,25,87.0,0.053363987,257.77249969563,0.8898145835370987,8,8
5,30,87.0,0.053363987,419.11867051481005,1.4467714969483247,8,8
6,35,87.0,0.053363987,427.55865593051,1.4759057999348644,8,8
7,40,87.0,0.053363987,542.50962224093,1.8727093625160882,8,8
8,45,87.0,0.053363987,581.46500375145,2.0071809086129035,8,8
9,50,87.0,0.053363987,663.6947342359899,2.291032806980126,8,8
10,55,87.0,0.053363987,663.6947342359899,2.291032806980126,8,8
11,60,87.0,0.053363987,663.69473423599,2.291032806980126,8,8
0,1,26.29,0.037573562,25.30219105502,0.08734158462513605,9,9
0,2,26.29,0.037573562,25.30219105502,0.08734158462513605,9,9
0,3,26.29,0.037573562,25.30219105502,0.08734158462513605,9,9
0,4,26.29,0.037573562,30.01741453601,0.1036182418441008,9,9
0,5,43.22,0.075501167,69.97425409827,0.24154675864295388,9,9
1,10,43.22,0.075501167,75.46813436262,0.26051129048866095,9,9
2,15,43.22,0.075501167,75.49545305508,0.26060559291030316,9,9
3,20,76.68,0.075080437,359.70352778477,1.2416741318432287,9,9
4,25,76.68,0.075080437,359.70352778477,1.2416741318432287,9,9
5,30,76.68,0.075080437,483.97802805847994,1.6706619518624444,9,9
6,35,76.68,0.075080437,490.91643809403996,1.694612910337423,9,9
7,40,76.68,0.075080437,643.99474630086,2.223029677938503,9,9
8,45,76.68,0.075080437,712.65412467824,2.4600375676432717,9,9
9,50,76.68,0.075080437,835.53931241687,2.884229567486694,9,9
10,55,76.68,0.075080437,835.53931241687,2.884229567486694,9,9
11,60,76.68,0.075080437,837.2001509680699,2.8899626785264805,9,9
0,1,9.6,0.127327332,8.3776576128,0.028919151300282844,10,10
0,2,9.6,0.127327332,8.3776576128,0.028919151300282844,10,10
0,3,9.88,0.051628763,17.747565434360002,0.061263488403220746,10,10
0,4,56.14,0.051648175,70.98803688986,0.24504627357787084,10,10
0,5,56.14,0.051648175,70.98803688986,0.24504627357787084,10,10
1,10,56.14,0.051648175,79.88655556455002,0.2757634047612429,10,10
2,15,56.14,0.051648175,169.52759799599,0.5851986894915612,10,10
3,20,56.14,0.051648175,169.52759799599002,0.5851986894915612,10,10
4,25,56.14,0.051648175,269.7587077937,0.9311902259332684,10,10
5,30,56.14,0.051648175,269.7587077937,0.9311902259332684,10,10
6,35,75.46,0.185396976,496.39229344618,1.7135152213109646,10,10
7,40,75.46,0.185396976,521.60935779939,1.800562953873493,10,10
8,45,75.46,0.185396976,622.97296607411,2.1504638043881403,10,10
9,50,75.46,0.185396976,622.97296607411,2.1504638043881403,10,10
10,55,75.46,0.185396976,627.9257613533299,2.1675605446297386,10,10
11,60,82.21,0.0836470159999999,779.5515145777699,2.6909631830733742,10,10
